index,img,input
1,../../Data_Processing/Scenario3/resources/masks\1.jpg,"[0.064583,0.424074,0.120833,0.166667,0.493466,0.994244]"
1,../../Data_Processing/Scenario3/resources/masks\2.jpg,"[0.083333,0.423148,0.166667,0.17963,0.505613,0.995290]"
1,../../Data_Processing/Scenario3/resources/masks\3.jpg,"[0.099479,0.42963,0.198958,0.185185,0.518149,0.994767]"
2,../../Data_Processing/Scenario3/resources/masks\4.jpg,"[0.119792,0.426852,0.235417,0.187037,0.531032,0.994767]"
2,../../Data_Processing/Scenario3/resources/masks\5.jpg,"[0.128125,0.428704,0.25,0.187037,0.544283,0.994767]"
3,../../Data_Processing/Scenario3/resources/masks\6.jpg,"[0.148438,0.42963,0.292708,0.185185,0.557903,0.994767]"
4,../../Data_Processing/Scenario3/resources/masks\7.jpg,"[0.183333,0.430556,0.283333,0.187037,0.571870,0.995290]"
6,../../Data_Processing/Scenario3/resources/masks\8.jpg,"[0.215104,0.433333,0.292708,0.185185,0.586205,0.995814]"
7,../../Data_Processing/Scenario3/resources/masks\9.jpg,"[0.278125,0.437963,0.285417,0.187037,0.600888,0.996860]"
9,../../Data_Processing/Scenario3/resources/masks\10.jpg,"[0.310417,0.435185,0.285417,0.185185,0.615795,0.996860]"
10,../../Data_Processing/Scenario3/resources/masks\11.jpg,"[0.349479,0.437963,0.278125,0.187037,0.630662,0.996860]"
13,../../Data_Processing/Scenario3/resources/masks\12.jpg,"[0.436458,0.437037,0.28125,0.188889,0.661009,0.996860]"
15,../../Data_Processing/Scenario3/resources/masks\13.jpg,"[0.477604,0.442593,0.278125,0.192593,0.676510,0.997384]"
16,../../Data_Processing/Scenario3/resources/masks\14.jpg,"[0.527083,0.440741,0.277083,0.192593,0.692215,0.997384]"
19,../../Data_Processing/Scenario3/resources/masks\15.jpg,"[0.574479,0.441667,0.273958,0.194444,0.708145,0.997384]"
20,../../Data_Processing/Scenario3/resources/masks\16.jpg,"[0.615104,0.440741,0.280208,0.192593,0.724280,0.997384]"
22,../../Data_Processing/Scenario3/resources/masks\17.jpg,"[0.679167,0.448148,0.272917,0.192593,0.740496,0.998430]"
