index,img,input
26,../../Data_Processing/Scenario1/resources/masks\1.jpg,"[0.8942708333333333, 0.28425925925925927, 0.18645833333333334, 0.10185185185185185, 0.23538673967099039, 0.26014760162718686]"
10,../../Data_Processing/Scenario1/resources/masks\2.jpg,"[0.33645833333333336, 0.21203703703703702, 0.11875, 0.06851851851851852, 0.6011240037721464, 0.79612546143227]"
17,../../Data_Processing/Scenario1/resources/masks\3.jpg,"[0.5598958333333334, 0.26666666666666666, 0.16145833333333334, 0.0962962962962963, 0.44344855986425824, 0.18173431730048242]"
14,../../Data_Processing/Scenario1/resources/masks\4.jpg,"[0.49114583333333334, 0.2712962962962963, 0.16979166666666667, 0.09814814814814815, 0.48346697027732566, 0.09409594087741385]"
2,../../Data_Processing/Scenario1/resources/masks\5.jpg,"[0.06041666666666667, 0.1935185185185185, 0.11666666666666667, 0.06851851851851852, 0.8867759986388347, 0.7324723247481604]"
19,../../Data_Processing/Scenario1/resources/masks\6.jpg,"[0.5796875, 0.22314814814814815, 0.10520833333333333, 0.07592592592592592, 0.402630750231751, 0.8099630996423645]"
3,../../Data_Processing/Scenario1/resources/masks\7.jpg,"[0.134375, 0.24444444444444444, 0.17708333333333334, 0.0962962962962963, 0.7220270826735461, 0.12915129144664128]"
26,../../Data_Processing/Scenario1/resources/masks\8.jpg,"[0.8046875, 0.2361111111111111, 0.14895833333333333, 0.07962962962962963, 0.21312468206556073, 0.8413284132681691]"
28,../../Data_Processing/Scenario1/resources/masks\9.jpg,"[0.9270833333333334, 0.2851851851851852, 0.14583333333333334, 0.10740740740740741, 0.18361958285307872, 0.2666051662126286]"
7,../../Data_Processing/Scenario1/resources/masks\10.jpg,"[0.26510416666666664, 0.21203703703703702, 0.12395833333333334, 0.07222222222222222, 0.676533998693595, 0.6817343173660306]"
2,../../Data_Processing/Scenario1/resources/masks\11.jpg,"[0.075, 0.2490740740740741, 0.13541666666666666, 0.09444444444444444, 0.7952084494002651, 0.004612545982633854]"
25,../../Data_Processing/Scenario1/resources/masks\12.jpg,"[0.7947916666666667, 0.28425925925925927, 0.175, 0.10185185185185185, 0.291514255958421, 0.2038745388299229]"
29,../../Data_Processing/Scenario1/resources/masks\13.jpg,"[0.9270833333333334, 0.24166666666666667, 0.13958333333333334, 0.07592592592592592, 0.09166444610687252, 0.9372693727483907]"
3,../../Data_Processing/Scenario1/resources/masks\14.jpg,"[0.0875, 0.20092592592592592, 0.13541666666666666, 0.06851851851851852, 0.8407742060443527, 0.6632841329111094]"
3,../../Data_Processing/Scenario1/resources/masks\15.jpg,"[0.075, 0.20185185185185187, 0.12708333333333333, 0.07037037037037037, 0.8578280565008536, 0.6614391143083016]"
13,../../Data_Processing/Scenario1/resources/masks\16.jpg,"[0.425, 0.21666666666666667, 0.12083333333333333, 0.07037037037037037, 0.5116397374172457, 0.8201107010401325]"
19,../../Data_Processing/Scenario1/resources/masks\17.jpg,"[0.5739583333333333, 0.22592592592592592, 0.11041666666666666, 0.07407407407407407, 0.3997722923328088, 0.7601476014305422]"
14,../../Data_Processing/Scenario1/resources/masks\18.jpg,"[0.4791666666666667, 0.27037037037037037, 0.16458333333333333, 0.0962962962962963, 0.4917758775217727, 0.08948339489478]"
26,../../Data_Processing/Scenario1/resources/masks\19.jpg,"[0.7942708333333334, 0.2324074074074074, 0.14270833333333333, 0.07592592592592592, 0.21317313049110606, 0.9003690037074519]"
12,../../Data_Processing/Scenario1/resources/masks\20.jpg,"[0.45, 0.25833333333333336, 0.16458333333333333, 0.09814814814814815, 0.5051234223827091, 0.14022140227690974]"
9,../../Data_Processing/Scenario1/resources/masks\21.jpg,"[0.34739583333333335, 0.2574074074074074, 0.159375, 0.09259259259259259, 0.5907560378826217, 0.12453874546400742]"
28,../../Data_Processing/Scenario1/resources/masks\22.jpg,"[0.9177083333333333, 0.2851851851851852, 0.16458333333333333, 0.1111111111111111, 0.19459315424264964, 0.30258302608325993]"
2,../../Data_Processing/Scenario1/resources/masks\23.jpg,"[0.03802083333333333, 0.22870370370370371, 0.07604166666666666, 0.09074074074074075, 0.8528378672926973, 0.06549815502472457]"
30,../../Data_Processing/Scenario1/resources/masks\24.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.0306194132926344, 0.9335793359360643]"
31,../../Data_Processing/Scenario1/resources/masks\25.jpg,"[0.9703125, 0.2824074074074074, 0.059375, 0.09444444444444444, 0.12872750175269468, 0.25461254621205265]"
6,../../Data_Processing/Scenario1/resources/masks\26.jpg,"[0.20104166666666667, 0.25, 0.16875, 0.0962962962962963, 0.7047309900376816, 0.09040590432728036]"
5,../../Data_Processing/Scenario1/resources/masks\27.jpg,"[0.1546875, 0.20092592592592592, 0.12604166666666666, 0.06851851851851852, 0.7861485913619236, 0.763837638636158]"
12,../../Data_Processing/Scenario1/resources/masks\28.jpg,"[0.3963541666666667, 0.21666666666666667, 0.121875, 0.07037037037037037, 0.5594098980174715, 0.70664206653749]"
26,../../Data_Processing/Scenario1/resources/masks\29.jpg,"[0.8135416666666667, 0.2351851851851852, 0.15208333333333332, 0.08148148148148149, 0.1984690293362289, 0.8736162360642812]"
10,../../Data_Processing/Scenario1/resources/masks\30.jpg,"[0.37552083333333336, 0.26481481481481484, 0.165625, 0.1, 0.5632373246855055, 0.054428044456649005]"
25,../../Data_Processing/Scenario1/resources/masks\31.jpg,"[0.8130208333333333, 0.28425925925925927, 0.184375, 0.10185185185185185, 0.2839562995078685, 0.19372693730105836]"
6,../../Data_Processing/Scenario1/resources/masks\32.jpg,"[0.1765625, 0.20555555555555555, 0.128125, 0.06666666666666667, 0.7641287759530699, 0.753690036976197]"
17,../../Data_Processing/Scenario1/resources/masks\33.jpg,"[0.5958333333333333, 0.2712962962962963, 0.17083333333333334, 0.10185185185185185, 0.4151788958560352, 0.17250922507302183]"
10,../../Data_Processing/Scenario1/resources/masks\34.jpg,"[0.3458333333333333, 0.20925925925925926, 0.13541666666666666, 0.07037037037037037, 0.6067682468886819, 0.8007380074149039]"
9,../../Data_Processing/Scenario1/resources/masks\35.jpg,"[0.31354166666666666, 0.21388888888888888, 0.11875, 0.07222222222222222, 0.6308713451639921, 0.6900369005542802]"
23,../../Data_Processing/Scenario1/resources/masks\36.jpg,"[0.5270833333333333, 0.2212962962962963, 0.13333333333333333, 0.07222222222222222, 0.4453864974196541, 0.7426199261459284]"
26,../../Data_Processing/Scenario1/resources/masks\37.jpg,"[0.7984375, 0.2351851851851852, 0.146875, 0.07777777777777778, 0.21976211817256683, 0.8690036900816474]"
2,../../Data_Processing/Scenario1/resources/masks\38.jpg,"[0.051041666666666666, 0.22870370370370371, 0.10208333333333333, 0.09074074074074075, 0.8468544851112827, 0.057195571836475]"
20,../../Data_Processing/Scenario1/resources/masks\39.jpg,"[0.6140625, 0.22777777777777777, 0.134375, 0.07407407407407407, 0.36326639374427516, 0.7721402214311182]"
25,../../Data_Processing/Scenario1/resources/masks\40.jpg,"[0.7807291666666667, 0.2351851851851852, 0.140625, 0.07777777777777778, 0.2374215740946892, 0.8302583024379007]"
12,../../Data_Processing/Scenario1/resources/masks\41.jpg,"[0.4421875, 0.26666666666666666, 0.16979166666666667, 0.1, 0.5182771735242518, 0.07564575642249265]"
17,../../Data_Processing/Scenario1/resources/masks\42.jpg,"[0.5208333333333334, 0.2175925925925926, 0.12916666666666668, 0.07592592592592592, 0.4425280395379242, 0.8385608856261502]"
30,../../Data_Processing/Scenario1/resources/masks\43.jpg,"[0.9651041666666667, 0.2814814814814815, 0.06354166666666666, 0.09259259259259259, 0.13289406748560764, 0.2656826570423211]"
20,../../Data_Processing/Scenario1/resources/masks\44.jpg,"[0.6182291666666667, 0.22314814814814815, 0.13020833333333334, 0.07222222222222222, 0.3567258545055721, 0.8560885609107639]"
24,../../Data_Processing/Scenario1/resources/masks\45.jpg,"[0.7979166666666667, 0.2814814814814815, 0.18125, 0.10740740740740741, 0.29715849907495656, 0.22140221398344018]"
10,../../Data_Processing/Scenario1/resources/masks\46.jpg,"[0.38177083333333334, 0.25925925925925924, 0.16145833333333334, 0.09259259259259259, 0.5622925801205803, 0.13376383769146802]"
26,../../Data_Processing/Scenario1/resources/masks\47.jpg,"[0.8177083333333334, 0.2861111111111111, 0.18333333333333332, 0.10185185185185185, 0.2766163610325132, 0.20940959411396068]"
24,../../Data_Processing/Scenario1/resources/masks\48.jpg,"[0.7838541666666666, 0.2833333333333333, 0.18020833333333333, 0.1, 0.3049829219262516, 0.18265682660188637]"
12,../../Data_Processing/Scenario1/resources/masks\49.jpg,"[0.4354166666666667, 0.2611111111111111, 0.1625, 0.0962962962962963, 0.5237518470911355, 0.13376383769146802]"
24,../../Data_Processing/Scenario1/resources/masks\50.jpg,"[0.7666666666666667, 0.23425925925925925, 0.14375, 0.07592592592592592, 0.22896732153918145, 0.8976014761965295]"
3,../../Data_Processing/Scenario1/resources/masks\51.jpg,"[0.1, 0.24351851851851852, 0.17708333333333334, 0.09444444444444444, 0.7661878345981475, 0.09225092266789534]"
25,../../Data_Processing/Scenario1/resources/masks\52.jpg,"[0.8291666666666667, 0.2824074074074074, 0.18333333333333332, 0.10555555555555556, 0.2758411860172398, 0.22970479717168973]"
7,../../Data_Processing/Scenario1/resources/masks\53.jpg,"[0.22239583333333332, 0.20185185185185187, 0.115625, 0.07037037037037037, 0.7161890458031922, 0.7795202951868673]"
14,../../Data_Processing/Scenario1/resources/masks\54.jpg,"[0.4859375, 0.2712962962962963, 0.16770833333333332, 0.09814814814814815, 0.4877062086743751, 0.09225092266789534]"
31,../../Data_Processing/Scenario1/resources/masks\55.jpg,"[-1.0, -1.0, -1.0, -1.0, 0.030837431267831585, 0.9511070112206781]"
26,../../Data_Processing/Scenario1/resources/masks\56.jpg,"[0.809375, 0.2361111111111111, 0.14791666666666667, 0.07962962962962963, 0.20951527337272396, 0.8431734318709769]"
