index,img,input
1,../../Data_Processing/Scenario4/resources/masks\1.jpg,"[0.059375,0.312963,0.11875,0.122222,0.154736,0.702406]"
2,../../Data_Processing/Scenario4/resources/masks\2.jpg,"[0.078646,0.305556,0.148958,0.111111,0.182605,0.698185]"
3,../../Data_Processing/Scenario4/resources/masks\3.jpg,"[0.103125,0.306481,0.195833,0.116667,0.210913,0.694808]"
5,../../Data_Processing/Scenario4/resources/masks\4.jpg,"[0.145313,0.308333,0.198958,0.116667,0.239681,0.691431]"
6,../../Data_Processing/Scenario4/resources/masks\5.jpg,"[0.177604,0.303704,0.201042,0.122222,0.264971,0.687632]"
7,../../Data_Processing/Scenario4/resources/masks\6.jpg,"[0.247917,0.306481,0.183333,0.12037,0.290216,0.684255]"
9,../../Data_Processing/Scenario4/resources/masks\7.jpg,"[0.294792,0.308333,0.185417,0.116667,0.315391,0.680878]"
10,../../Data_Processing/Scenario4/resources/masks\8.jpg,"[0.348438,0.309259,0.184375,0.118519,0.340520,0.677923]"
11,../../Data_Processing/Scenario4/resources/masks\9.jpg,"[0.395833,0.310185,0.177083,0.112963,0.365580,0.674546]"
13,../../Data_Processing/Scenario4/resources/masks\10.jpg,"[0.445833,0.310185,0.18125,0.116667,0.390570,0.671591]"
15,../../Data_Processing/Scenario4/resources/masks\11.jpg,"[0.493229,0.311111,0.176042,0.111111,0.415515,0.668637]"
17,../../Data_Processing/Scenario4/resources/masks\12.jpg,"[0.543229,0.309259,0.176042,0.114815,0.440437,0.666104]"
19,../../Data_Processing/Scenario4/resources/masks\13.jpg,"[0.597396,0.312963,0.178125,0.107407,0.468744,0.663571]"
20,../../Data_Processing/Scenario4/resources/masks\14.jpg,"[0.64375,0.312037,0.177083,0.109259,0.496983,0.661038]"
21,../../Data_Processing/Scenario4/resources/masks\15.jpg,"[0.677604,0.312037,0.176042,0.109259,0.525175,0.658506]"
23,../../Data_Processing/Scenario4/resources/masks\16.jpg,"[0.724479,0.312037,0.173958,0.112963,0.553275,0.655973]"
24,../../Data_Processing/Scenario4/resources/masks\17.jpg,"[0.766146,0.313889,0.180208,0.112963,0.581306,0.653862]"
25,../../Data_Processing/Scenario4/resources/masks\18.jpg,"[0.813021,0.312963,0.182292,0.111111,0.609268,0.651330]"
26,../../Data_Processing/Scenario4/resources/masks\19.jpg,"[0.85625,0.312963,0.185417,0.114815,0.636908,0.648797]"
28,../../Data_Processing/Scenario4/resources/masks\20.jpg,"[0.902083,0.316667,0.177083,0.107407,0.661024,0.646264]"
28,../../Data_Processing/Scenario4/resources/masks\21.jpg,"[0.921875,0.313889,0.15625,0.105556,0.685093,0.644154]"
29,../../Data_Processing/Scenario4/resources/masks\22.jpg,"[0.938542,0.315741,0.122917,0.101852,0.709093,0.641621]"
30,../../Data_Processing/Scenario4/resources/masks\23.jpg,"[0.946354,0.308333,0.103125,0.105556,0.733071,0.639088]"
29,../../Data_Processing/Scenario4/resources/masks\24.jpg,"[0.951042,0.261111,0.09375,0.077778,0.792473,0.288307]"
28,../../Data_Processing/Scenario4/resources/masks\25.jpg,"[0.935417,0.258333,0.120833,0.07963,0.773931,0.291262]"
28,../../Data_Processing/Scenario4/resources/masks\26.jpg,"[0.918229,0.258333,0.130208,0.072222,0.755551,0.294217]"
28,../../Data_Processing/Scenario4/resources/masks\27.jpg,"[0.896875,0.262037,0.114583,0.072222,0.736963,0.296750]"
28,../../Data_Processing/Scenario4/resources/masks\28.jpg,"[0.872396,0.257407,0.119792,0.07037,0.718445,0.299282]"
27,../../Data_Processing/Scenario4/resources/masks\29.jpg,"[0.842708,0.260185,0.114583,0.072222,0.699995,0.301393]"
25,../../Data_Processing/Scenario4/resources/masks\30.jpg,"[0.820833,0.257407,0.122917,0.074074,0.681615,0.303926]"
